request_id,place_id_to,Department,part_id2,promised_dt,urgency,created_dttm,user_def3,user_def251,SLA,Qty,NDC
3646247,VRS UP,RC DCD,ASW-HHT-ZEB-TC22,13/05/2026,03,13/05/2026 17:08:47,AT DEPLOYMENT,,16/05/2026 20:00:00,3,0
3645482,VRS UP,RC DCD,COS-TAB-MIC-COMPLIANCE,13/05/2026,03,13/05/2026 09:14:58,,,15/05/2026 21:00:00,23,0
3646471,VRS UP,RC DCD,OST-HHT-ZEB-TC51,14/05/2026,03,14/05/2026 07:22:35,,,15/05/2026 22:00:00,13,0
3645953,VRS UP,RC MCD,MCD-BSE-QUA-DUAL-V2,13/05/2026,03,13/05/2026 21:17:35,,,13/05/2026 18:02:00,26,9
3646346,VRS UP,RC DCD,OST-HHT-ZEB-TC51,13/05/2026,03,13/05/2026 22:12:14,,,15/05/2026 22:00:00,13,0
3646347,VRS UP,RC MCD,MCD-MON-NEC-EA231.22.5-KIT,13/05/2026,03,13/05/2026 22:22:57,,,15/05/2026 23:00:00,319,30
3646371,VRS UP,RC MCD,MCD-DT-SOTEC-CLOUD-KIT,14/05/2026,03,14/05/2026 05:07:54,,,15/05/2026 23:00:00,19,0
3644865,VRS UP,RC DCD,PAD-NV200-NOTE-READER-BPS,13/05/2026,03,13/05/2026 19:21:13,,,13/05/2026 22:00:00,18,0
3646369,VRS UP,RC MCD,MCD-MIS-COIN-DISPENSE,14/05/2026,02,14/05/2026 05:01:13,,,15/05/2026 23:00:00,4,0
3646321,VRS UP,RC MCD,MCD-KSK-EVO-PC-KIT,13/05/2026,03,13/05/2026 20:32:32,,,15/05/2026 23:00:00,94,1
3646296,VRS UP,RC MCD,MCD-DT-PUCK-DX80-KIT,13/05/2026,03,13/05/2026 19:03:50,,,15/05/2026 23:00:00,288,9
3646300,VRS UP,RC MCD,MCD-MON-NEC-EA231.22.5-KIT,13/05/2026,03,13/05/2026 18:55:43,,,15/05/2026 23:00:00,319,30
3646277,VRS UP,RC DCD,TRG-TAB-IPAD-MINI-A2993,13/05/2026,03,13/05/2026 18:00:46,,,15/05/2026 23:00:00,1,0
3646278,VRS UP,RC DCD,TRG-TAB-IPAD-MINI-A2993,13/05/2026,03,13/05/2026 17:59:32,,,15/05/2026 23:00:00,1,0
3646279,VRS UP,RC DCD,TRG-TAB-IPAD-MINI-A2993,13/05/2026,03,13/05/2026 18:04:20,,,15/05/2026 23:00:00,1,0
3646280,VRS UP,RC DCD,TRG-TAB-IPAD-MINI-A2993,13/05/2026,03,13/05/2026 18:01:39,,,15/05/2026 23:00:00,1,0
3646281,VRS UP,RC DCD,TRG-TAB-IPAD-MINI-A2993,13/05/2026,03,13/05/2026 18:08:59,,,15/05/2026 23:00:00,1,0
3646099,VRS UP,RC MCD,MCD-DT-PUCK-DX80-KIT,13/05/2026,03,13/05/2026 17:30:56,,,14/05/2026 23:00:00,288,9
3646282,VRS UP,RC DCD,TRG-TAB-IPAD-MINI-A2993,13/05/2026,02,13/05/2026 18:02:58,,,15/05/2026 23:00:00,1,0
3621463,VRS UP,RC MCD,MCD-MIS-COIN-DISPENSE,13/05/2026,03,13/05/2026 15:28:47,,,17/04/2026 23:00:00,4,0
3643701,CAR0403,RC MCD,MCD-MNT-TAP-W-KIT-V3,13/05/2026,02,13/05/2026 15:20:46,,,14/05/2026 23:00:00,16,1
3644385,VRS UP,RC MCD,MCD-DT-PUCK-DX80-KIT,13/05/2026,03,13/05/2026 16:18:50,,,13/05/2026 23:00:00,288,9
3646144,VRS UP,RC DCD,TRG-TAB-IPAD-MINI-A2567,13/05/2026,03,13/05/2026 16:23:18,,,15/05/2026 23:00:00,4,0
3646145,VRS UP,RC DCD,TRG-TAB-IPAD-MINI-A2567,13/05/2026,03,13/05/2026 16:27:57,,,15/05/2026 23:00:00,4,0
3646146,VRS UP,RC DCD,TRG-TAB-IPAD-MINI-A2567,13/05/2026,03,13/05/2026 16:10:15,,,15/05/2026 23:00:00,4,0
3646174,VRS UP,RC DCD,TRG-TAB-IPAD-MINI-A2567,13/05/2026,03,13/05/2026 16:22:48,,,15/05/2026 23:00:00,4,0
3646176,VRS UP,RC DCD,TRG-TAB-IPAD-MINI-A2567,13/05/2026,03,13/05/2026 16:22:56,,,15/05/2026 23:00:00,4,0
3645690,VRS UP,RC MCD,MCD-DMB-NEC-TFT-P403,13/05/2026,03,13/05/2026 11:11:16,,,16/05/2026 23:00:00,7,0
3646092,VRS UP,RC DCD,OST-HHT-ZEB-TC51,13/05/2026,03,13/05/2026 16:14:56,,,14/05/2026 22:00:00,13,0
3646134,VRS UP,RC DCD,OST-HHT-ZEB-TC51,13/05/2026,02,13/05/2026 16:24:18,,,14/05/2026 22:00:00,13,0
3646138,VRS UP,RC DCD,OST-HHT-ZEB-TC52-PKR,13/05/2026,02,13/05/2026 16:21:57,,,14/05/2026 22:00:00,1,0
3639565,VRS UP,RC DCD,CEC-HHT-ZEB-TC51,06/05/2026,03,06/05/2026 13:56:57,AT DEPLOYMENT,GJ - In Progress,07/05/2026 20:00:00,24,0
3636857,VRS UP,RC MCD,MCD-DMB-NEC-MP-14256,13/05/2026,03,13/05/2026 14:04:21,,,06/05/2026 23:00:00,455,0
3636857,VRS UP,RC MCD,MCD-DMB-NEC-MP-14256,13/05/2026,03,13/05/2026 14:04:21,,,06/05/2026 23:00:00,455,0
3636857,VRS UP,RC MCD,MCD-DMB-NEC-MP-14256,13/05/2026,03,13/05/2026 14:04:21,,,06/05/2026 23:00:00,455,0
3636857,VRS UP,RC MCD,MCD-DMB-NEC-MP-14256,13/05/2026,03,13/05/2026 14:03:46,,,06/05/2026 23:00:00,455,0
3636857,VRS UP,RC MCD,MCD-DMB-NEC-MP-14256,13/05/2026,03,13/05/2026 14:03:46,,,06/05/2026 23:00:00,455,0
3636857,VRS UP,RC MCD,MCD-DMB-NEC-MP-14256,13/05/2026,03,13/05/2026 14:03:46,,,06/05/2026 23:00:00,455,0
3645796,VRS UP,RC DCD,CEC-HHT-ZEB-TC51,13/05/2026,03,13/05/2026 12:09:12,,,14/05/2026 20:00:00,24,0
3645720,VRS UP,RC MCD,MCD-DMB-NEC-TFT-P403,13/05/2026,02,13/05/2026 11:51:01,,,16/05/2026 23:00:00,7,0
3645722,VRS UP,RC MCD,MCD-DMB-NEC-TFT-P403,13/05/2026,03,13/05/2026 11:28:18,,,16/05/2026 23:00:00,7,0
3571761,RICO BELFAST,RC MCD,MCD-DMB-NEC-TFT-P403,13/05/2026,02,13/05/2026 11:17:42,,,23/02/2026 23:00:00,7,0
3571761,RICO BELFAST,RC MCD,MCD-DMB-NEC-TFT-P403,13/05/2026,02,13/05/2026 11:17:42,,,23/02/2026 23:00:00,7,0
3644567,VRS UP,RC DCD,CEC-HHT-ZEB-TC51,12/05/2026,02,12/05/2026 11:08:49,DELAYED BY CUSTOMER,,13/05/2026 20:00:00,24,0
3645182,VRS UP,RC DCD,TRG-TAB-SAM-A9-PLUS-64,12/05/2026,03,12/05/2026 21:58:00,AT DEPLOYMENT,GJ - In Progress,14/05/2026 23:00:00,5,0
3645154,VRS UP,RC DCD,TRG-TAB-SAM-A9-PLUS-64,12/05/2026,03,12/05/2026 20:22:05,AT DEPLOYMENT,GJ - In Progress (with wanstor for deprovisioning),14/05/2026 23:00:00,5,0
3641182,VRS UP,RC MCD,MCD-OOW-AOP-MP-DEX5750-S,12/05/2026,03,12/05/2026 16:14:46,AT DEPLOYMENT,GJ - In Progress,11/05/2026 23:00:00,2,0
3645438,VRS UP,RC DCD,SCN-CAN-LIDE110,13/05/2026,03,13/05/2026 09:18:37,,,14/05/2026 22:00:00,1,0
3645469,VRS UP,RC MCD,MCD-MIS-COIN-DISPENSE,13/05/2026,03,13/05/2026 09:37:24,DELAYED BY CUSTOMER,,14/05/2026 23:00:00,4,0
3644899,VRS UP,RC MCD,MCD-MIS-COIN-DISPENSE,12/05/2026,03,12/05/2026 14:59:59,DELAYED BY CUSTOMER,,13/05/2026 23:00:00,4,0
