,part_id,user_def16,user_def2,Proposed change,Difference,part_class
,AAH-ROU-CISCO-887,RC PC,20,15,-5,A
,AAH-ROU-CISCO-C887VAG,RC PC,20,15,-5,A
,AAH-ROU-CISCO-TEMP,RC PC,15,10,-5,A
,ADP-12V-AIO-USB,RC PC,30,20,-10,A
,ADP-ADSL-FILTER,RC PCB,35,10,-25,A
,ADP-BT-SPLIT-LIDL,RC PRINTERS & PERIPHERALS,15,10,-5,A
,ADP-CCTV-RG59-BNC,RC PRINTERS & PERIPHERALS,35,15,-20,A
,ADP-ISC-QMS,RC PC,15,15,0,A
,AP-UNIFI-NANO-HD,RC PC,15,10,-5,A
,ASW-AP-CIS-MER-CW9162,RC PC,15,10,-5,A
,ASW-AP-CIS-MER-MR44,RC PC,15,10,-5,A
,ASW-CAB-WIN-BA92,RC PCB,10,10,0,A
,ASW-CAM-MOT-VB400V3,RC DCD,15,15,0,A
,ASW-CHG-DOCK-VB400,RC ADMIN,10,10,,A
,ASW-DOCK-CON-DC200,RC PC,15,15,0,A
,ASW-PHONE-YEALINK-W73P,RC PC,15,10,-5,A
,ATM-32-LGT-BD-MK2,RC PCB,25,15,-10,A
,ATM-32-REAR-FAN,RC PCB,10,10,0,A
,ATT-WAIT-LOCK-BA83,RC PCB,20,20,0,A
,BEA-PSU-VER-VX680,RC PCB,55,10,-45,A
,CAB-CBNA-UO1-S07ZA,RC DCD,20,10,-10,A
,CAB-DIGI-CAB65200,RC DCD,5,5,0,A
,CAB-DPORT-DPORT,RC PC,10,30,20,A
,CAB-HHP-XEN-1900-USB,RC DCD,20,10,-10,A
,CAB-MET-STD-RS232,RC DCD,20,10,-10,A
,CAB-MOT-U21-S07ZAR,RC DCD,15,10,-5,A
,CAB-SCN-9800-12V-USB,RC DCD,10,10,0,A
,CAB-SCN-DATA-RS232,RC DCD,10,10,0,A
,CAB-SCN-MAG-1500I,RC DCD,10,10,0,A
,CAB-SYM-25-32469-20,RC DCD,15,10,-5,A
,CAB-SYM-DS4208,RC DCD,10,10,0,A
,CAB-SYM-STI85-0200,RC DCD,35,10,-25,A
,CAM-BOBA-CAMERA,RC DCD,15,10,-5,A
,CAM-BOBA-CAM-GRY,RC DCD,15,10,-5,A
,CAM-BOBA-SENSOR,RC DCD,15,10,-5,A
,CCTV-PSU-24V,RC PCB,75,10,-65,A
,CDR-ANK-08512-INSERT,RC PRINTERS & PERIPHERALS,75,15,-60,A
,CDR-DIG-EC410-INSERT,RC PRINTERS & PERIPHERALS,75,15,-60,A
